"","Plot","Yr","dwdC.tacre","dwdC.gm2","dwdC.Mgha","AGunderstoryC.tacre","BGunderstoryC.tacre","AGunderstoryC.gm2","BGunderstoryC.gm2","AGunderstoryC.Mgha","BGunderstoryC.Mgha","litterC.tacre","litterC.gm2","litterC.Mgha","foresttype"
"1",26,1998,11.715347,2626.22933699,26.2622933699,0.929509,0.103279,208.36803253,23.15205343,2.0836803253,0.2315205343,21.788777,4884.39014009,48.8439014009,"mountain-hemlock"
"2",26,2005,22.193741,4975.17091997,49.7517091997,1.114379,0.12382,249.81034043,27.7567294,2.4981034043,0.277567294,16.776723,3760.83799491,37.6083799491,"mountain-hemlock"
"3",26,2016,22.126059,4959.99864603,49.5999864603,1.110794,0.123422,249.00669098,27.66750974,2.4900669098,0.2766750974,16.776723,3760.83799491,37.6083799491,"mountain-hemlock"
"4",33,2012,1.47895825,331.5380709025,3.315380709025,2.4753115,0.275035,554.890578955,61.65459595,5.54890578955,0.6165459595,8.9237245,2000.431321165,20.00431321165,"lodgepole-pine"
"5",69,2009,7.218501,1618.17136917,16.1817136917,1.006505,0.111834,225.62822585,25.06982778,2.2562822585,0.2506982778,12.780986,2865.11363162,28.6511363162,"alaska-yellow-cedar"
"6",69,2020,6.879925,1542.27278725,15.4227278725,1.014378,0.112709,227.39311626,25.26597653,2.2739311626,0.2526597653,13.098264,2936.23784088,29.3623784088,"alaska-yellow-cedar"
"7",74,1999,0.6715312875,150.537168718875,1.50537168718875,0.199328736,0.02214771,44.68352274912,4.9648521507,0.4468352274912,0.049648521507,2.645588595,593.06159534115,5.9306159534115,"sitka-spruce"
"8",74,2012,1.3562545,304.031571265,3.04031571265,0.284344,0.03159375,63.74139448,7.0823709375,0.6374139448,0.070823709375,4.725876,1059.39962292,10.5939962292,"sitka-spruce"
"9",139,1995,8.153629,1827.79901293,18.2779901293,1.032879,0.114764,231.54048543,25.72664588,2.3154048543,0.2572664588,27.491852,6162.84846284,61.6284846284,"western-hemlock"
"10",139,2010,13.158283,2949.69230011,29.4969230011,0.930757,0.103417,208.64779669,23.18298889,2.0864779669,0.2318298889,10.76934,2414.1629478,24.141629478,"western-hemlock"
"11",171,1997,1.081263,242.38672671,2.4238672671,1.608118,0.17868,360.49181206,40.0546956,3.6049181206,0.400546956,23.523352,5273.22981784,52.7322981784,"western-hemlock"
"12",171,2009,2.00171683684,448.724863314423,4.48724863314423,1.330527549205,0.147835973915,298.264360705285,33.1403902725256,2.98264360705285,0.331403902725256,11.513519360595,2580.98563506458,25.8098563506458,"western-hemlock"
"13",171,2020,2.15483168937,483.048619806073,4.83048619806073,1.30799415875,0.145332474085,293.213050566988,32.5791807156345,2.93213050566988,0.325791807156344,11.551493264375,2589.49824507494,25.8949824507494,"western-hemlock"
"14",229,1998,4.6783795,1048.752332515,10.48752332515,1.14534525,0.12726025,256.7520446925,28.5279302425,2.567520446925,0.285279302425,20.3631045,4564.797135765,45.64797135765,"mountain-hemlock"
"15",229,2004,8.59646325,1927.0691667525,19.270691667525,1.01274775,0.1125275,227.0276631175,25.225289675,2.270276631175,0.25225289675,13.809831,3095.74981527,30.9574981527,"mountain-hemlock"
"16",231,1998,12.34636,2767.6835212,27.676835212,0.943882,0.104876,211.59002794,23.51005292,2.1159002794,0.2351005292,24.324487,5452.82025079,54.5282025079,"western-redcedar"
"17",239,1996,7.1639953308,1605.95283330544,16.0595283330544,0.8130814596,0.0903422952,182.268470798532,20.252032314984,1.82268470798532,0.20252032314984,21.6790223364,4859.78643715079,48.5978643715079,"western-hemlock"
"18",239,2009,16.735761945504,3751.65575532363,37.5165575532363,0.76336628088,0.084818150256,171.12381918487,19.0136847428875,1.7112381918487,0.190136847428875,9.50157813528,2129.96877058572,21.2996877058572,"western-hemlock"
"19",239,2020,10.028646944574,2248.12178556515,22.4812178556515,0.59599046283,0.066220868982,133.603182052601,14.8447321996949,1.33603182052601,0.148447321996949,7.4241626445,1664.27454001756,16.6427454001756,"western-hemlock"
"20",256,1996,0.9363760193,209.907412246481,2.09907412246481,0.3707690894,0.0411964948,83.115306770798,9.235018239316,0.83115306770798,0.09235018239316,6.4352845142,1442.59772954821,14.4259772954821,"alaska-yellow-cedar"
"21",256,2011,1.904964383276,427.035865798981,4.27035865798981,1.601924243316,0.177991716156,359.103357624148,39.9004030106905,3.59103357624148,0.399004030106905,8.729408888392,1956.87159051083,19.5687159051083,"alaska-yellow-cedar"
"22",326,1998,10.564137,2368.16259129,23.6816259129,0.976275,0.108475,218.85156675,24.31684075,2.1885156675,0.2431684075,30.095686,6746.54993062,67.4654993062,"western-hemlock"
"23",326,2004,17.973565,4029.13406605,40.2913406605,0.869689,0.096632,194.95818313,21.66199544,1.9495818313,0.2166199544,13.817434,3097.45417978,30.9745417978,"western-hemlock"
"24",326,2015,20.384798,4569.66016766,45.6966016766,0.930458,0.103384,208.58076986,23.17559128,2.0858076986,0.2317559128,14.792191,3315.96545647,33.1596545647,"western-hemlock"
"25",362,2005,1.805073,404.64321441,4.0464321441,1.262806,0.140312,283.08322102,31.45374104,2.8308322102,0.3145374104,13.953351,3127.92269367,31.2792269367,"mountain-hemlock"
"26",362,2016,1.989776,446.04808592,4.4604808592,1.242737,0.138082,278.58435329,30.95384194,2.7858435329,0.3095384194,14.032983,3145.77379911,31.4577379911,"mountain-hemlock"
"27",440,1996,9.577327,2146.94939359,21.4694939359,0.960688,0.106743,215.35742896,23.92857831,2.1535742896,0.2392857831,22.251741,4988.17277997,49.8817277997,"alaska-yellow-cedar"
"28",440,2011,20.519114,4599.76978538,45.9976978538,1.030293,0.114477,230.96078181,25.66230909,2.3096078181,0.2566230909,11.40864,2557.4748288,25.574748288,"alaska-yellow-cedar"
"29",452,1996,4.942526,1107.96605342,11.0796605342,1.151695,0.127966,258.17546815,28.68613822,2.5817546815,0.2868613822,28.835289,6464.00673513,64.6400673513,"western-redcedar"
"30",452,2008,8.629675,1934.51424475,19.3451424475,1.020263,0.113363,228.71235671,25.41258371,2.2871235671,0.2541258371,13.024185,2919.63155145,29.1963155145,"western-redcedar"
"31",452,2019,8.380156,1878.57957052,18.7857957052,1.026774,0.114086,230.17192758,25.57465862,2.3017192758,0.2557465862,13.038726,2922.89120742,29.2289120742,"western-redcedar"
"32",469,1998,0.96687432,216.7442163144,2.167442163144,0.33353937,0.03705993,74.7695205729,8.3077245081,0.747695205729,0.083077245081,7.70300064,1726.7816534688,17.267816534688,"western-hemlock"
"33",469,2012,12.350785,2768.67547345,27.6867547345,0.92155,0.102394,206.5838635,22.95366298,2.065838635,0.2295366298,14.056055,3150.94584935,31.5094584935,"western-hemlock"
"34",561,1997,1.53899,344.9953883,3.449953883,1.295985,0.143998,290.52095745,32.28003166,2.9052095745,0.3228003166,21.190683,4750.31540811,47.5031540811,"mountain-hemlock"
"35",561,2007,1.95791,438.9046847,4.389046847,1.24588,0.138431,279.2889196,31.03207727,2.792889196,0.3103207727,11.728586,2629.19712362,26.2919712362,"mountain-hemlock"
"36",561,2018,2.801895,628.10080215,6.2810080215,1.174863,0.13054,263.36903871,29.2631518,2.6336903871,0.292631518,12.407564,2781.40362188,27.8140362188,"mountain-hemlock"
"37",564,1997,2.871856,643.78395952,6.4378395952,1.775779,0.197309,398.07637843,44.23075853,3.9807637843,0.4423075853,9.198551,2062.03917767,20.6203917767,"western-hemlock"
"38",613,2017,3.5101167507,786.862872004419,7.86862872004419,0.189046846296,0.021005181468,42.3786315341743,4.70873152968156,0.423786315341743,0.0470873152968156,3.281090445072,735.52204507179,7.3552204507179,"sitka-spruce"
"39",654,1997,3.785518,848.59957006,8.4859957006,1.54017,0.17113,345.2599089,38.3622121,3.452599089,0.383622121,9.294781,2083.61105677,20.8361105677,"western-hemlock"
"40",654,2005,4.833166,1083.45082222,10.8345082222,1.28835,0.14315,288.8094195,32.0899355,2.888094195,0.320899355,15.619027,3501.31728259,35.0131728259,"western-hemlock"
"41",654,2016,9.481453,2125.45731901,21.2545731901,1.024369,0.113819,229.63279873,25.51480523,2.2963279873,0.2551480523,14.000689,3138.53445313,31.3853445313,"western-hemlock"
"42",677,1999,6.825915,1530.16536555,15.3016536555,1.076328,0.119592,241.28044776,26.80893864,2.4128044776,0.2680893864,20.191402,4526.30658634,45.2630658634,"sitka-spruce"
"43",677,2012,12.713116,2849.89921372,28.4989921372,0.938399,0.104267,210.36090383,23.37353339,2.1036090383,0.2337353339,15.095929,3384.05440393,33.8405440393,"sitka-spruce"
"44",719,1995,5.20261067,1166.2692338939,11.662692338939,1.33247042,0.148052445,298.6998940514,33.18891659565,2.986998940514,0.3318891659565,20.25719403,4541.0551857051,45.410551857051,"sitka-spruce"
"45",719,2009,13.21758547319,2962.986135525,29.62986135525,1.201450043202,0.133494487193,269.329056184592,29.9254591940548,2.69329056184592,0.299254591940548,9.454534121782,2119.42291407987,21.1942291407987,"sitka-spruce"
"46",719,2020,12.168393899099,2727.78886036102,27.2778886036102,1.005729259435,0.111747845099,225.454328087544,25.0505144358428,2.25454328087544,0.250505144358428,8.667706915095,1943.03985915685,19.4303985915685,"sitka-spruce"
"47",764,1998,6.142698,1377.00861066,13.7700861066,1.033156,0.114795,231.60258052,25.73359515,2.3160258052,0.2573359515,21.509757,4821.84222669,48.2184222669,"alaska-yellow-cedar"
"48",764,2013,6.702445,1502.48709565,15.0248709565,1.018515,0.113168,228.32050755,25.36887056,2.2832050755,0.2536887056,11.359892,2546.54698964,25.4654698964,"alaska-yellow-cedar"
"49",805,2005,3.933074358152,881.677278866934,8.81677278866934,1.077382214752,0.119709026872,241.516771080956,26.8351725538962,2.41516771080956,0.268351725538962,10.50532983064,2354.97978813457,23.5497978813457,"alaska-yellow-cedar"
"50",832,2007,2.302230162279,516.090935478083,5.16090935478083,1.444937479095,0.160548353156,323.911634688726,35.9901243269805,3.23911634688726,0.359901243269805,6.583991732692,1475.93342671757,14.7593342671757,"western-hemlock"
"51",832,2018,2.041893331758,457.731228180191,4.57731228180191,1.935608201793,0.215067577977,433.905290595937,48.2116989551041,4.33905290595937,0.482116989551041,7.339678249743,1645.33567324489,16.4533567324489,"western-hemlock"
"52",848,2005,1.587043,355.76742931,3.5576742931,0.2571455,0.02857175,57.644306735,6.4049291975,0.57644306735,0.064049291975,3.46285,776.2670845,7.762670845,"mountain-hemlock"
"53",940,1995,3.406575,763.65191775,7.6365191775,0.8141325,0.090459,182.504082525,20.27819403,1.82504082525,0.2027819403,15.96502875,3578.8804948875,35.788804948875,"mountain-hemlock"
"54",940,2008,8.519364,1909.78582788,19.0978582788,0.979788,0.108865,219.63907596,24.40426705,2.1963907596,0.2440426705,9.876595,2214.03630115,22.1403630115,"mountain-hemlock"
"55",940,2019,8.107912,1817.55063304,18.1755063304,0.987598,0.109733,221.38984366,24.59884661,2.2138984366,0.2459884661,9.834934,2204.69715478,22.0469715478,"mountain-hemlock"
"56",942,2019,6.25389128298,1401.93480890563,14.0193480890563,0.90873540768,0.10097041236,203.711216339626,22.6345373387412,2.03711216339626,0.226345373387412,12.56686363362,2817.1138207486,28.171138207486,"western-hemlock"
"57",973,1997,9.747096,2185.00651032,21.8500651032,0.95793,0.106437,214.7391681,23.85998229,2.147391681,0.2385998229,21.314963,4778.17525571,47.7817525571,"mountain-hemlock"
"58",994,1997,6.31127975,1414.7995815575,14.147995815575,1.15561625,0.12840225,259.0544947625,28.7839323825,2.590544947625,0.287839323825,23.652224,5302.11905408,53.0211905408,"western-hemlock"
"59",994,2005,10.49102,2351.7719534,23.517719534,0.978045,0.108672,219.24834765,24.36100224,2.1924834765,0.2436100224,13.750089,3082.35745113,30.8235745113,"western-hemlock"
"60",994,2016,12.488227,2799.48584659,27.9948584659,0.941514,0.104613,211.05919338,23.45109621,2.1105919338,0.2345109621,13.71399,3074.2651383,30.742651383,"western-hemlock"
"61",1030,1997,2.16149025,484.5412693425,4.845412693425,0.53603775,0.05955975,120.1635824175,13.3515091575,1.201635824175,0.133515091575,11.0053155,2467.061575635,24.67061575635,"lodgepole-pine"
"62",1030,2010,3.938221,882.83100157,8.8283100157,0.5691,0.063233,127.575147,14.17494161,1.27575147,0.1417494161,11.36115,2546.8289955,25.468289955,"lodgepole-pine"
"63",1031,1997,3.350386,751.05602962,7.5105602962,1.141073,0.126786,255.79433441,28.42161762,2.5579433441,0.2842161762,20.362203,4564.59504651,45.6459504651,"alaska-yellow-cedar"
"64",1031,2004,7.084432,1588.11712144,15.8811712144,1.010065,0.112229,226.42627105,25.15837493,2.2642627105,0.2515837493,13.070077,2929.91916109,29.2991916109,"alaska-yellow-cedar"
"65",1031,2015,7.673551,1720.17992767,17.2017992767,1.084929,0.1205475,243.20853393,27.023133075,2.4320853393,0.27023133075,13.7564095,3083.774317615,30.83774317615,"alaska-yellow-cedar"
"66",1037,1996,3.39092,760.1425364,7.601425364,1.339475,0.148831,300.27011075,33.36344527,3.0027011075,0.3336344527,11.727694,2628.99716398,26.2899716398,"sitka-spruce"
"67",1060,1998,2.4423568764,547.503140982588,5.47503140982588,0.4134796218,0.0459423069,92.689726818906,10.298886937773,0.92689726818906,0.10298886937773,10.3704522684,2324.74428500723,23.2474428500723,"western-redcedar"
"68",1060,2011,2.68186375,601.1933968375,6.011933968375,1.2855975,0.142844,288.192391575,32.02133948,2.88192391575,0.3202133948,8.4826125,1901.547244125,19.01547244125,"western-redcedar"
"69",1088,1996,5.98345,1341.3099865,13.413099865,1.03761,0.11529,232.6010337,25.8445593,2.326010337,0.258445593,21.321938,4779.73884146,47.7973884146,"alaska-yellow-cedar"
"70",1088,2009,10.976709,2460.64885653,24.6064885653,0.939475,0.104386,210.60211075,23.40020962,2.1060211075,0.2340020962,10.059986,2255.14706162,22.5514706162,"alaska-yellow-cedar"
"71",1088,2020,10.576977,2371.04093409,23.7104093409,0.945198,0.105022,211.88503566,23.54278174,2.1188503566,0.2354278174,9.924625,2224.80318625,22.2480318625,"alaska-yellow-cedar"
"72",1147,2007,6.9965805,1568.423450685,15.68423450685,1.10541825,0.1228245,247.8016091025,27.533568165,2.478016091025,0.27533568165,11.596413,2599.56790221,25.9956790221,"western-hemlock"
"73",1147,2018,10.1469495,2274.641669415,22.74641669415,0.99473875,0.11052675,222.9905855875,24.7767815475,2.229905855875,0.247767815475,10.9668005,2458.427668085,24.58427668085,"western-hemlock"
"74",1171,1998,6.24033,1398.8947761,13.988947761,1.15679525,0.1285325,259.3187911925,28.813130525,2.593187911925,0.28813130525,21.88417625,4905.7757899625,49.057757899625,"western-redcedar"
"75",1171,2010,10.219733,2290.95754661,22.9095754661,0.983382,0.109265,220.44474294,24.49393505,2.2044474294,0.2449393505,13.648813,3059.65441021,30.5965441021,"western-redcedar"
"76",1176,1998,3.826787,857.85084179,8.5785084179,1.116417,0.124046,250.26719889,27.80739182,2.5026719889,0.2780739182,20.886147,4682.04757299,46.8204757299,"alaska-yellow-cedar"
"77",1201,1996,3.174958,711.73033486,7.1173033486,1.151089,0.127899,258.03962113,28.67111883,2.5803962113,0.2867111883,20.819222,4667.04499574,46.6704499574,"mountain-hemlock"
"78",1201,2007,3.874302,868.50227934,8.6850227934,1.114292,0.12381,249.79083764,27.7544877,2.4979083764,0.277544877,11.394488,2554.30237496,25.5430237496,"mountain-hemlock"
"79",1201,2018,3.627769,813.23697673,8.1323697673,1.126313,0.125146,252.48558521,28.05397882,2.5248558521,0.2805397882,11.506636,2579.44259212,25.7944259212,"mountain-hemlock"
"80",1219,1998,7.306887,1637.98485879,16.3798485879,0.745251,0.082806,167.06291667,18.56262102,1.6706291667,0.1856262102,19.776684,4433.33925228,44.3333925228,"sitka-spruce"
"81",1219,2013,17.667993,3960.63399081,39.6063399081,0.872953,0.096995,195.68987401,21.74336915,1.9568987401,0.2174336915,13.033707,2921.76609819,29.2176609819,"sitka-spruce"
"82",1277,1997,7.660173,1717.18098141,17.1718098141,1.121012,0.124557,251.29726004,27.92194269,2.5129726004,0.2792194269,9.225336,2068.04357112,20.6804357112,"western-hemlock"
"83",1277,2008,17.98145275,4030.9022629675,40.309022629675,0.9191735,0.10213025,206.051123495,22.8945381425,2.06051123495,0.228945381425,14.4482845,3238.871936365,32.38871936365,"western-hemlock"
"84",1277,2019,23.11375925,5181.4114110725,51.814114110725,1.01781475,0.1130905,228.1635325075,25.351497385,2.281635325075,0.25351497385,14.929041,3346.64312097,33.4664312097,"western-hemlock"
"85",1382,1995,1.1852934096,265.707223630032,2.65707223630032,1.42404113,0.1582265054,319.2273001121,35.469635715518,3.192273001121,0.35469635715518,21.4076801592,4798.95966128786,47.9895966128786,"mountain-hemlock"
"86",1382,2004,1.65497775,370.9963622175,3.709963622175,1.4076285,0.15640325,315.548080845,35.0609165525,3.15548080845,0.350609165525,9.271826,2078.46523442,20.7846523442,"mountain-hemlock"
"87",1382,2015,1.6983005,380.708023085,3.80708023085,1.41012575,0.1566805,316.1078893775,35.123067685,3.161078893775,0.35123067685,9.3477505,2095.485229585,20.95485229585,"mountain-hemlock"
"88",1397,2006,0.67066,150.3418522,1.503418522,1.564958,0.173884,350.81663486,38.97957628,3.5081663486,0.3897957628,10.946118,2453.79127206,24.5379127206,"mountain-hemlock"
"89",1397,2017,0.557759,125.03283503,1.2503283503,1.596431,0.177381,357.87193727,39.76349877,3.5787193727,0.3976349877,10.913105,2446.39074785,24.4639074785,"mountain-hemlock"
"90",1459,1997,5.68747,1274.9601499,12.749601499,1.117489,0.124165,250.50750913,27.83406805,2.5050750913,0.2783406805,24.228897,5431.39184049,54.3139184049,"western-hemlock"
"91",1472,2016,1.932107,433.12042619,4.3312042619,1.256206,0.139578,281.60369902,31.28920026,2.8160369902,0.3128920026,9.710187,2176.73261979,21.7673261979,"mountain-hemlock"
"92",1491,1995,7.358473,1649.54889241,16.4954889241,1.060442,0.117827,237.71928314,26.41327859,2.3771928314,0.2641327859,18.774976,4208.78636992,42.0878636992,"western-hemlock"
"93",1491,2011,14.005568473389,3139.62828467961,31.3962828467961,0.973496111163,0.108166567907,218.22862323941,24.2476995277122,2.1822862323941,0.242476995277122,11.533463993056,2585.45662332336,25.8545662332336,"western-hemlock"
"94",1508,1996,5.104672,1144.31432224,11.4431432224,1.071619,0.119069,240.22483123,26.69169773,2.4022483123,0.2669169773,13.159527,2949.97116759,29.4997116759,"mountain-hemlock"
"95",1508,2006,8.414968,1886.38337656,18.8638337656,0.98257,0.109174,220.2627169,24.47353558,2.202627169,0.2447353558,11.10797,2490.0736349,24.900736349,"mountain-hemlock"
"96",1508,2017,9.602667,2152.62986139,21.5262986139,0.961047,0.106783,215.43790599,23.93754511,2.1543790599,0.2393754511,11.499051,2577.74226267,25.7774226267,"mountain-hemlock"
"97",1543,1998,2.924603,655.60825451,6.5560825451,1.16669,0.129632,261.5368973,29.05960544,2.615368973,0.2905960544,20.718542,4644.47556014,46.4447556014,"alaska-yellow-cedar"
"98",1543,2009,5.086055,1140.14094935,11.4014094935,1.065823,0.118425,238.92554191,26.54733225,2.3892554191,0.2654733225,11.837479,2653.60766743,26.5360766743,"alaska-yellow-cedar"
"99",1543,2020,4.919888,1102.89129296,11.0289129296,1.071573,0.119064,240.21451941,26.69057688,2.4021451941,0.2669057688,11.718693,2626.97940981,26.2697940981,"alaska-yellow-cedar"
"100",1554,1995,1.8389145,412.229463465,4.12229463465,1.01136825,0.112374,226.7184206025,25.19087958,2.267184206025,0.2519087958,15.7033845,3520.227703365,35.20227703365,"western-hemlock"
"101",1554,2004,4.45484925,998.6435563725,9.986435563725,0.8331525,0.0925725,186.767795925,20.751977325,1.86767795925,0.20751977325,9.203964,2063.25260988,20.6325260988,"western-hemlock"
"102",1554,2015,5.12399475,1148.6459031075,11.486459031075,0.8072205,0.089691,180.954619485,20.10603147,1.80954619485,0.2010603147,9.05420025,2029.6800700425,20.296800700425,"western-hemlock"
"103",1574,1997,3.078715,690.15554155,6.9015554155,1.551877,0.172431,347.88426709,38.65385727,3.4788426709,0.3865385727,9.395212,2106.12467404,21.0612467404,"sitka-spruce"
"104",1574,2013,6.616853,1483.29993701,14.8329993701,1.114408,0.123823,249.81684136,27.75740191,2.4981684136,0.2775740191,13.533654,3033.83921718,30.3383921718,"sitka-spruce"
"105",1576,2009,1.434564248722,321.586267636011,3.21586267636011,0.212895766105,0.023655131379,47.7248438877578,5.30277080123043,0.477248438877579,0.0530277080123043,1.457737505906,326.781016698948,3.26781016698948,"red-alder"
"106",1576,2020,0.10127059756,22.7018298550252,0.227018298550252,0.423299524494,0.047033211115,94.89105440582,10.5434349356496,0.9489105440582,0.105434349356495,0.990268122965,221.988405125064,2.21988405125064,"red-alder"
"107",1604,2001,4.701956,1054.03747652,10.5403747652,1.086028,0.12067,243.45489676,27.0505939,2.4345489676,0.270505939,16.687925,3740.93214725,37.4093214725,"mountain-hemlock"
"108",1604,2012,7.825436,1754.22798812,17.5422798812,0.99501,0.110557,223.0513917,24.78356269,2.230513917,0.2478356269,13.688926,3068.64654142,30.6864654142,"mountain-hemlock"
"109",1681,1998,0.809439,181.45194063,1.8145194063,1.652097,0.183566,370.35058449,41.14999022,3.7035058449,0.4114999022,5.446985,1221.05062745,12.2105062745,"cottonwood"
"110",1681,2004,1.9601,439.395617,4.39395617,1.359638,0.151071,304.79005046,33.86558607,3.0479005046,0.3386558607,7.817568,1752.46421856,17.5246421856,"cottonwood"
"111",1681,2015,3.241768,726.70713256,7.2670713256,1.219534,0.135504,273.38293678,30.37593168,2.7338293678,0.3037593168,7.601216,1703.96459072,17.0396459072,"cottonwood"
"112",1742,1998,8.51203,1908.1417651,19.081417651,1.023545,0.113727,229.44808265,25.49418159,2.2944808265,0.2549418159,24.033942,5387.68877814,53.8768877814,"western-redcedar"
"113",1742,2007,14.569374,3266.01656958,32.6601656958,0.910574,0.101175,204.12337358,22.68039975,2.0412337358,0.2268039975,14.083731,3157.14997827,31.5714997827,"western-redcedar"
"114",1742,2018,16.148578,3620.02673026,36.2002673026,0.890319,0.098924,199.58281023,22.17579308,1.9958281023,0.2217579308,14.271554,3199.25426018,31.9925426018,"western-redcedar"
"115",1773,1996,8.202432,1838.73918144,18.3873918144,1.031521,0.114613,231.23606257,25.69279621,2.3123606257,0.2569279621,29.673359,6651.87688703,66.5187688703,"western-hemlock"
"116",1798,1995,14.214475,3186.45886075,31.8645886075,0.916194,0.101799,205.38320898,22.82028183,2.0538320898,0.2282028183,20.572033,4611.63263761,46.1163263761,"western-hemlock"
"117",1798,2012,31.618987,7088.02831579,70.8802831579,1.442045,0.160227,323.26322765,35.91808659,3.2326322765,0.3591808659,13.005728,2915.49404576,29.1549404576,"western-hemlock"
"118",1818,2016,30.065238,6739.72440246,67.3972440246,1.372302,0.152478,307.62893934,34.18099326,3.0762893934,0.3418099326,14.991416,3360.62572472,33.6062572472,"western-hemlock"
"119",1838,1997,11.084285,2484.76416845,24.8476416845,0.966199,0.107355,216.59282983,24.06577035,2.1659282983,0.2406577035,25.503872,5717.20298624,57.1720298624,"western-hemlock"
"120",1838,2011,27.200345,6097.50133865,60.9750133865,1.241478,0.137942,278.30212326,30.92245814,2.7830212326,0.3092245814,16.306568,3655.44334856,36.5544334856,"western-hemlock"
"121",1857,1996,1.212194438,271.73762716646,2.7173762716646,0.345491461,0.038387972,77.44882081237,8.60543168324,0.7744882081237,0.0860543168324,3.520731172,789.24230682724,7.8924230682724,"western-hemlock"
"122",1857,2013,3.33643706286,747.929096381326,7.47929096381326,0.65355688266,0.0726173019,146.507846385892,16.278620566923,1.46507846385892,0.16278620566923,7.16348921706,1605.83937778834,16.0583937778834,"western-hemlock"
"123",1893,2001,2.0357365,456.351051205,4.56351051205,0.5717485,0.0635275,128.168861245,14.240959675,1.28168861245,0.14240959675,6.74676,1512.4211892,15.124211892,"mountain-hemlock"
"124",2013,1998,2.1946075,491.965163275,4.91965163275,0.9205425,0.10228225,206.358012225,22.9286119825,2.06358012225,0.229286119825,17.01130525,3813.4242978925,38.134242978925,"alaska-yellow-cedar"
"125",2013,2010,0.9760815,218.808189855,2.18808189855,0.74930325,0.08325575,167.9713095525,18.6634414775,1.679713095525,0.186634414775,4.52719475,1014.8612471075,10.148612471075,"alaska-yellow-cedar"
"126",2026,1999,3.1498871767,706.110208400839,7.06110208400839,1.2250976466,0.1361216375,274.630139438322,30.514387478375,2.74630139438322,0.30514387478375,22.5501950752,5055.07723000758,50.5507723000758,"western-hemlock"
"127",2026,2009,4.754378,1065.78891626,10.6578891626,1.162414,0.129157,260.57834638,28.95312469,2.6057834638,0.2895312469,14.048927,3149.34796559,31.4934796559,"western-hemlock"
"128",2026,2020,6.202905858282,1390.50540625108,13.9050540625108,0.969589274764,0.107732543348,217.352827723846,24.1504042423212,2.17352827723846,0.241504042423212,11.922293304086,2672.62048997696,26.7262048997696,"western-hemlock"
"129",2030,1999,2.442664,547.57198888,5.4757198888,1.415609,0.15729,317.33706953,35.2596993,3.1733706953,0.352596993,14.049144,3149.39661048,31.4939661048,"sitka-spruce"
"130",2030,2007,4.833762,1083.58442754,10.8358442754,1.176534,0.130726,263.74362678,29.30484742,2.6374362678,0.2930484742,14.046618,3148.83035706,31.4883035706,"sitka-spruce"
"131",2030,2018,6.389362,1432.30327954,14.3230327954,1.098369,0.122041,246.22137873,27.35793097,2.4622137873,0.2735793097,13.874275,3110.19622675,31.1019622675,"sitka-spruce"
"132",2146,1997,6.435343,1442.61084031,14.4261084031,1.087547,0.120839,243.79541099,27.08847863,2.4379541099,0.2708847863,25.817847,5787.58676199,57.8758676199,"western-hemlock"
"133",2200,1995,7.068866,1584.62769122,15.8462769122,1.065997,0.118444,238.96454749,26.55159148,2.3896454749,0.2655159148,23.41704,5249.3978568,52.493978568,"western-hemlock"
"134",2200,2008,14.200015,3183.21736255,31.8321736255,0.915489,0.101721,205.22516913,22.80279657,2.0522516913,0.2280279657,10.539,2362.52763,23.6252763,"western-hemlock"
"135",2200,2019,16.933005,3795.87173085,37.9587173085,0.881076,0.097897,197.51080692,21.94557049,1.9751080692,0.2194557049,10.369595,2324.55211115,23.2455211115,"western-hemlock"
"136",2283,1998,0.51360975,115.1358976575,1.151358976575,0.194416,0.02160175,43.58223472,4.8424642975,0.4358223472,0.048424642975,4.98008625,1116.3859346625,11.163859346625,"lodgepole-pine"
"137",2368,1995,7.852463305,1760.28669908185,17.6028669908185,1.02744431,0.114160885,230.3221909727,25.59144559045,2.303221909727,0.2559144559045,19.6238777375,4399.08467241538,43.9908467241538,"mountain-hemlock"
"138",2368,2012,13.057218,2927.03655906,29.2703655906,0.913206,0.101467,204.71338902,22.74585739,2.0471338902,0.2274585739,11.310498,2535.47433666,25.3547433666,"mountain-hemlock"
"139",2372,1997,5.900278,1322.66531926,13.2266531926,1.108942,0.123216,248.59152814,27.62133072,2.4859152814,0.2762133072,23.199991,5200.74198247,52.0074198247,"western-redcedar"
"140",2439,1995,0.26957,60.4295069,0.604295069,1.884135,0.209348,422.36654295,46.92954116,4.2236654295,0.4692954116,12.267356,2749.97319452,27.4997319452,"western-hemlock"
"141",2439,2004,0.909464079934,203.874562798805,2.03874562798805,1.686490912314,0.187387879146,378.060667813429,42.0067408681588,3.78060667813429,0.420067408681588,10.091612844504,2262.23685135246,22.6223685135246,"western-hemlock"
"142",2439,2015,4.28664,960.9360888,9.609360888,1.311015,0.145668,293.89023255,32.65439556,2.9389023255,0.3265439556,12.443632,2789.48898544,27.8948898544,"western-hemlock"
"143",2504,2010,0.52901,118.5881717,1.185881717,1.550642,0.172294,347.60741714,38.62314598,3.4760741714,0.3862314598,11.571671,2594.02148807,25.9402148807,"mountain-hemlock"
"144",2516,2004,1.96977625,441.5647419625,4.415647419625,0.24800325,0.027556,55.5948885525,6.17722852,0.555948885525,0.0617722852,4.959884,1111.85719628,11.1185719628,"mountain-hemlock"
